Capture ID,Date and Time,Collar Number,Age Estimate,Sex
EVGF112,2020-10-16 11:12 AM,NA,0,F
EVGF111,2020-10-16 11:12 AM,NA,0,F
Melissa,2020-10-16 11:12 AM,39689,7,F
Stu,2020-09-27 8:25 AM,6006,20,M
Tim,2020-09-26 3:45 PM,6277,16,M
Esme,2020-09-25 9:45 AM,6275,8,F
EVGM108,2020-09-25 7:37 AM,NA,1,M
Kathy,2020-09-25 7:31 AM,42578,14,F
Ada,2020-09-23 8:19 AM,42581,6,F
Chandler,2020-09-21 8:35 AM,42579,17,M
Finn,2020-09-19 8:46 AM,39690,4,M
Rachel,2020-09-05 10:00 AM,42580,4,F
Arthur,2020-09-01 11:34 AM,42577,3,M
Willow,2019-09-24 8:21 AM,6276,11,F
Marilyn,2019-09-22 8:58 AM,6275,4,F
EVGM103,2019-09-21 8:34 AM,NA,0,M
Polly,2019-09-21 8:34 AM,6057,10,F
Tommy,2019-09-18 2:43 PM,39690,2,M
Arthur,2019-09-18 2:43 PM,6641,2,M
Gums,2019-09-16 10:36 AM,6052,24,M
Caleb,2019-09-16 8:50 AM,39689,3,M
Willow,2019-09-14 8:33 AM,6276,11,F
Elaine,2019-09-13 10:22 AM,39688,15,F
Amelie,2019-08-23 4:51 PM,6053,15,F
Cali,2019-08-23 3:48 PM,6003,10,F
JimmySis,2019-05-09 3:14 PM,6641,2,F
JimmyMom,2019-05-09 2:05 PM,6640,15,F
Bubbles,2019-05-09 11:48 AM,6642,10,F
Rachel,2018-10-02 9:47 AM,6484,4,F
Jimmy,2018-09-29 1:12 PM,6275,2,M
Olson,2018-09-28 10:42 AM,6278,9,M
Jerry,2018-09-28 8:46 AM,6486,7,M
Cali,2018-09-26 11:57 AM,6485,6,F
Kramer,2018-09-26 9:04 AM,6262,4,M
EVGM88,2018-09-24 10:45 AM,6005,3,M
EVGF87,2018-09-24 8:38 AM,NA,0,F
Chandler,2018-09-22 8:13 AM,6487,15,M
Monica,2018-09-21 10:02 AM,6483,5,F
EVGF84,2018-09-20 7:50 AM,NA,0,F
Amy,2018-09-20 7:48 AM,6007,7,F
Cali,2018-09-18 7:26 AM,6485,6,F
Sue,2018-08-17 2:00 PM,6261,7,F
Brittney,2018-08-17 1:12 PM,6260,6,F
Bailey,2018-08-17 11:37 AM,6273,4,F
Trish,2018-05-29 10:11 AM,6274,9,F
Gary,2018-05-19 7:23 AM,6275,13,M
Tim,2018-05-18 8:24 AM,6007,10,M
Matt,2018-05-17 1:03 PM,6005,5,M
Olson,2018-05-13 7:20 AM,6276,9,M
Sam,2018-05-06 9:54 AM,6262,8,M
Gums,2018-05-05 6:47 AM,6277,20,M
Jerry,2018-04-30 9:21 AM,6278,7,M
Jerry,2018-04-23 9:28 AM,6278,7,M
Russ,2017-10-26 9:32 AM,6053,10,M
Joe,2017-10-22 11:06 AM,6050,13,M
Melissa,2017-09-20 10:40 AM,6058,5,F
Cameo,2017-09-20 10:33 AM,NA,4,F
EVGM69,2017-09-19 1:31 PM,NA,1,M
Phoebe,2017-09-19 11:14 AM,6062,4,F
Kenny,2017-09-19 8:18 AM,6052,7,M
Basil,2017-09-19 7:53 AM,6003,4,M
Emma,2017-09-15 12:28 PM,6061,8,F
Donnie,2017-09-14 8:45 PM,6058,4,M
Casey,2017-09-11 3:56 PM,6060,6,F
Mike,2017-09-11 1:15 PM,6004,10,M
Kathy,2017-09-11 10:37 AM,6056,15,F
EVGM69,2017-09-10 3:48 PM,NA,1,M
Laura,2017-08-27 9:50 AM,6059,15,F
Darren,2017-08-26 9:20 AM,6051,8,M
Trish,2017-08-25 10:04 AM,6055,9,F
Donnie,2017-06-20 11:24 AM,6058,4,M
Donnie,2017-06-19 12:24 PM,6058,4,M
Bailey,2017-06-14 2:00 PM,6057,3,F
Hartley,2017-06-08 10:18 AM,6007,4,M
Sid,2017-05-24 10:45 AM,6005,4,M
Feng,2017-05-21 10:59 AM,6004,8,M
Brittney,2017-05-18 2:13 PM,6006,5,F
Laura,2017-05-18 8:15 AM,6054,15,F
Ryan,2017-05-01 10:43 AM,15107,4,M
Lily,2017-05-01 9:28 AM,18495,5,F
Olson,2017-04-30 8:45 AM,25456,12,M
Hillary,2016-11-10 1:23 PM,18496,11,F
Darren,2016-10-03 6:17 PM,15109,8,M
Fran,2016-10-03 3:09 PM,18495,5,F
Joe,2016-10-03 1:12 PM,18497,16,M
Cameo,2016-10-02 1:07 PM,15111,3,F
Bill,2016-10-02 1:04 PM,15107,3,M
Sue,2016-09-29 10:53 AM,15108,6,F
Kenny,2016-09-25 9:24 AM,18494,5,M
Christina,2016-08-15 10:05 AM,21404,20,F
Melanie,2016-08-14 9:52 AM,21403,25,F
Sophie,2016-08-14 9:34 AM,21406,10,F
Honey,2015-09-25 5:00 PM,38738,NA,F
Sheena,2015-08-30 2:00 PM,38739,9,F
