BearID,YEAR,enter,exit,comment
Honey_L_EV,2015/2016,NA,NA,NA
Cameo_L_EV,2016/2017,2016-11-19,2017-04-14,NA
Honey_L_EV,2016/2017,2016-10-29,NA,collar failed before exit
Joe_L_EV,2016/2017,2016-11-19,2017-03-31,NA
Kenny_L_EV,2016/2017,2016-11-22,2017-03-30,NA
Sue_L_EV,2016/2017,2016-11-02,2017-05-12,NA
Bailey_L_EV,2017/2018,2017-11-06,2018-04-21,NA
Basil_L_EV,2017/2018,2017-12-09,NA,collar fell off before exit
Brittney_L_EV,2017/2018,2017-11-05,2018-04-20,NA
Casey_L_EV,2017/2018,2017-11-02,2018-04-22,NA
Emma_L_EV,2017/2018,2017-11-01,2018-04-25,NA
Joe_L_EV,2017/2018,2017-11-08,2018-04-05,NA
Kathy_L_EV,2017/2018,2017-11-03,2018-04-25,NA
Melissa_L_EV,2017/2018,2017-11-09,2018-04-24,NA
Olson_L_EV,2017/2018,2017-11-27,2018-04-23,NA
Russ_L_EV,2017/2018,2017-11-04,2018-04-24,NA
Trish_L_EV,2017/2018,2017-11-14,NA,collar failed before exit
Bailey_L_EV,2018/2019,2018-11-07,2019-04-23,NA
Brittney_L_EV,2018/2019,2018-11-06,2019-05-10,NA
Cali_L_EV,2018/2019,2018-11-06,2019-05-04,NA
Chandler_L_EV,2018/2019,2018-11-08,NA,collar failed before exit
EVGM88_L_EV,2018/2019,2018-11-15,NA,collar failed before exit
Jerry_L_EV,2018/2019,2018-11-07,2019-03-23,NA
Jimmy_L_EV,2018/2019,2018-11-17,2019-04-09,NA
Kramer_L_EV,2018/2019,2018-11-10,NA,collar failed before exit
Monica_L_EV,2018/2019,2018-11-10,2019-04-02,NA
Sue_L_EV,2018/2019,2018-11-12,2019-04-17,NA
Rachel_L_EV,2018/2019,2018-11-10,2019-04-19,NA
Casey_L_EV,2018/2019,2018-10-28,2019-03-31,NA
Bailey_L_EV,2019/2020,2019-11-01,2020-04-21,NA
JimmyMom_L_EV,2019/2020,2019-11-01,NA,collar failed before exit
Arthur_L_EV,2019/2020,2019-11-04,2020-04-16,NA
Sue_L_EV,2019/2020,2019-10-31,2020-04-20,NA
Marilyn_L_EV,2019/2020,2019-10-30,2020-04-08,NA
Bubbles_L_EV,2019/2020,2019-11-14,2020-04-14,NA
Polly_L_EV,2019/2020,2019-11-01,2020-04-30,NA
Gums_L_EV,2019/2020,2019-11-13,NA,collar failed before exit
Rachel_L_EV,2019/2020,2019-11-01,2020-04-10,NA
Amelie_L_EV,2019/2020,2019-10-23,2020-04-22,NA
Cali_L_EV,2019/2020,2019-11-11,2020-05-02,NA
Brittney_L_EV,2019/2020,2019-10-11,2020-05-15,NA
Tommy_L_EV,2019/2020,2019-10-31,2020-04-26,NA
Elaine_L_EV,2019/2020,2019-11-01,2020-04-30,NA
Willow_L_EV,2019/2020,2019-11-10,2020-04-25,NA
Caleb_L_EV,2019/2020,2019-11-10,2020-04-28,NA
Esme_L_EV,2020/2021,2020-10-27,2021-04-16,NA
Stu_L_EV,2020/2021,2020-11-06,NA,"collar failed before exit. Ended up at den earlier (Oct 19), but didn’t seem to fully go in"
Willow_L_EV,2020/2021,2020-10-16,2021-05-04,NA
Brittney_L_EV,2020/2021,2020-10-17,NA,NA
Sue_L_EV,2020/2021,2020-11-03,2021-04-16,"seemed to make a den and stay in for ~2 weeks, then made a new one mid Nov"
Polly_L_EV,2020/2021,2020-11-16,NA,maybe. Last fall loc
Tim_L_EV,2020/2021,2020-11-16,NA,last fall date…den loc isn't very good.
Amelie_L_EV,2020/2021,2020-10-18,2021-04-21,NA
Ada_L_EV,2020/2021,2020-10-21,2021-04-29,NA
Rachel_L_EV,2020/2021,2020-11-07,2021-04-23,NA
Chandler_L_EV,2020/2021,2020-11-20,2021-03-28,NA
Kathy_L_EV,2020/2021,2020-11-11,2021-04-28,NA
Arthur_L_EV,2020/2021,2020-10-18,2021-04-15,NA
Finn_L_EV,2020/2021,2020-11-13,2021-04-22,NA
Melissa_L_EV,2020/2021,2020-12-11,2021-04-15,NA
Elaine_L_EV,2020/2021,2020-10-19,2021-05-08,NA
