week,elev,upr,lwr,date
13,1913.75,2154.25,1777.25,2020-03-30
14,1885,2171.25,1711.5,2020-04-06
15,1891.5,2054.5,1718,2020-04-13
16,1681.5,1932.25,1532.25,2020-04-20
17,1623,1862,1415.125,2020-04-27
18,1547,1828,1289,2020-05-04
19,1499,1752.375,1264,2020-05-11
20,1552.25,1771,1256,2020-05-18
21,1537.5,1795.75,1308,2020-05-25
22,1595,1793.25,1339,2020-06-01
23,1602,1796.125,1424,2020-06-08
24,1661,1865.5,1466.375,2020-06-15
25,1669.5,1853.75,1493,2020-06-22
26,1714,1895.625,1548.375,2020-06-29
27,1793,1945.25,1607.5,2020-07-06
28,1742,1936,1510.375,2020-07-13
29,1738,1938,1394.75,2020-07-20
30,1655.5,1895,1378.875,2020-07-27
31,1590.25,1844.5,1349.125,2020-08-03
32,1573.5,1905,1349,2020-08-10
33,1587,1949.25,1334.5,2020-08-17
34,1701,1974.5,1374,2020-08-24
35,1671.25,1971.125,1277.5,2020-08-31
36,1636,1962,1236.5,2020-09-07
37,1570.5,1871.5,1222.5,2020-09-14
38,1375.75,1838.25,1076.375,2020-09-21
39,1400,1692.5,1123.5,2020-09-28
40,1382.5,1676.75,1125,2020-10-05
41,1439,1673.5,1118,2020-10-12
42,1370,1800,1106,2020-10-19
43,1350,1657.5,1080,2020-10-26
44,1460,1839,1070,2020-11-02
45,1309.25,1834.25,1061.25,2020-11-09
46,1667.5,2030.5,1246,2020-11-16
47,1907.25,2060,1315.875,2020-11-23
48,1771,2097,1260,2020-11-30
